Datum,Razlika
12/12/2013,-0.7200681199508276
12/11/2013,1.0453950788526396
12/10/2013,0.48179865582161807
12/9/2013,0.11216368740707668
12/6/2013,1.1908798593882282
12/5/2013,0.5545143709145254
12/4/2013,0.03996634201565021
12/3/2013,-1.1809916818704531
12/2/2013,0.1271006929100657
11/29/2013,0.012240876495352984
11/27/2013,1.2807467293272718
11/26/2013,1.1030177964165
11/25/2013,0.36190907198766015
11/22/2013,0.6251187978743774
11/21/2013,-0.2864198286215503
11/20/2013,-0.17156185298629917
11/19/2013,-0.38908436248165873
11/18/2013,0.08503440333135268
11/15/2013,0.09187929188479241
11/14/2013,2.6987833676621116
11/13/2013,-0.0942760104904128
11/12/2013,-0.17929311285751745
11/11/2013,0.07533875435789582
11/8/2013,-1.3553538716708309
